Tipo;Designacion;d;bf;tf;hw;tw=r1;r2;bf/2tf;hw/tw;Ag;Peso;Ix;Sx;rx;Qx;Zx;Iy;Sy;ry;Qy;1.5Sy;Zy;w1;d1;w4;t1;w3;J;Cw;X1;X2
W;24x76;608;228;17.3;533.0;11.2;;6.6;47.7;144.5;113.1;87409.0;2884.0;24.6;1639.0;3277.0;3434.0;302.0;4.9;234.0;452.0;469.0;;;;;;112.0;2980748.0;12135;391
W;24x68;603;228;14.9;533.0;10.5;;7.7;50.6;129.7;101.2;76170.0;2524.0;24.3;1450.0;2901.0;2930.0;257.0;4.8;201.0;386.0;401.0;;;;;;77.8;2532293.0;10963;610
W;24x62;603;179;15.0;533.0;10.9;;6.0;48.8;117.4;92.3;64516.0;2147.0;23.4;1254.0;2507.0;1436.0;161.0;3.5;129.0;241.0;257.0;;;;;;71.2;1240636.0;11721;528
W;24x55;599;178;12.8;533.0;10.0;;6.9;53.2;104.5;81.8;56191.0;1868.0;23.1;1098.0;2196.0;1211.0;136.0;3.4;109.0;204.0;218.0;;;;;;49.1;1039234.0;10618;833
W;21x201;585;319;41.4;464.0;23.1;;3.9;20.1;381.9;299.1;221019.0;7554.0;24.1;4343.0;8685.0;22560.0;1411.0;7.7;1090.0;2116.0;2179.0;;;;;;1719.0;16595517.0;29579;9.5
W;21x182;577;318;37.6;464.0;21.1;;4.2;22.0;345.8;270.8;196877.0;6833.0;23.9;3900.0;7800.0;20104.0;1265.0;7.6;975.0;1898.0;1950.0;;;;;;1294.0;14581498.0;26959;13.7
W;21x166;571;315;34.5;464.0;19.1;;4.6;24.3;314.8;247.0;178147.0;6227.0;23.8;3540.0;7079.0;18106.0;1149.0;7.6;885.0;1723.0;1770.0;;;;;;995.0;13023990.0;24752;19
W;21x147;560;318;29.2;464.0;18.3;;5.4;25.3;278.7;218.8;151092.0;5391.0;23.3;3056.0;6112.0;15650.0;985.0;7.5;759.0;1477.0;1517.0;;;;;;641.0;11036824.0;21650;33.4
W;21x132;554;316;26.3;464.0;16.5;;6.0;28.1;250.3;196.4;134027.0;4834.0;23.2;2728.0;5457.0;13861.0;877.0;7.4;674.0;1315.0;1349.0;;;;;;470.0;9667291.0;19581;49.4
W;21x122;551;315;24.4;464.0;15.2;;6.5;30.4;231.6;181.6;123205.0;4474.0;23.1;2515.0;5031.0;12695.0;806.0;7.4;619.0;1209.0;1239.0;;;;;;374.0;8781123.0;18133;66.5
W;21x111;546;313;22.2;464.0;14.0;;7.1;33.2;211.0;165.2;111134.0;4080.0;23.0;2286.0;4572.0;11405.0;729.0;7.4;559.0;1094.0;1118.0;;;;;;284.0;7841247.0;16547;94.9
W;21x101;543;312;20.3;464.0;12.7;;7.7;36.5;192.3;150.3;100728.0;3720.0;22.9;2073.0;4146.0;10323.0;660.0;7.3;506.0;991.0;1011.0;;;;;;217.0;7035640.0;15168;135
W;21x93;549;214;23.6;464.0;14.7;;4.5;31.5;176.1;138.4;86160.0;3146.0;22.1;1811.0;3622.0;3867.0;362.0;4.7;284.0;543.0;569.0;;;;;;251.0;2669247.0;18478;72.8
W;21x83;544;212;21.2;464.0;13.1;;5.0;35.4;156.8;123.5;76170.0;2802.0;22.0;1606.0;3212.0;3388.0;320.0;4.7;250.0;479.0;500.0;;;;;;181.0;2317465.0;16547;110
W;21x73;539;211;18.8;464.0;11.6;;5.6;40.1;138.7;108.6;66597.0;2474.0;22.0;1409.0;2819.0;2939.0;279.0;4.6;218.0;418.0;436.0;;;;;;126.0;1989851.0;14755;176
W;21x68;537;210;17.4;464.0;10.9;;6.0;42.4;129.0;101.2;61602.0;2294.0;21.8;1311.0;2622.0;2693.0;257.0;4.6;200.0;386.0;400.0;;;;;;102.0;1815302.0;13790;229
W;21x62;533;209;15.6;464.0;10.2;;6.7;45.6;118.1;92.3;55359.0;2081.0;21.7;1180.0;2360.0;2393.0;228.0;4.5;178.0;342.0;356.0;;;;;;76.2;1600474.0;12548;334
W;21x57;535;166;16.5;464.0;10.3;;5.0;45.1;107.7;84.8;48699.0;1819.0;21.2;1057.0;2114.0;1274.0;153.0;3.4;121.0;230.0;243.0;;;;;;73.7;856629.0;13514;276
W;21x50;529;166;13.6;464.0;9.7;;6.1;48.0;94.8;74.4;40957.0;1549.0;20.8;901.0;1803.0;1036.0;125.0;3.3;100.0;188.0;200.0;;;;;;47.5;690137.0;11928;475
W;21x44;525;165;11.4;464.0;8.9;;7.2;52.1;83.9;65.5;35088.0;1337.0;20.5;782.0;1563.0;862.0;104.0;3.2;84.0;156.0;167.0;;;;;;32.0;566611.0;10687;770
W;18x311;567;305;69.6;394.0;38.6;;2.2;10.2;590.3;462.8;289697.0;10226.0;22.2;6170.0;12339.0;33090.0;2163.0;7.5;1696.0;3245.0;3392.0;;;;;;7367.0;20328165.0;56261;0.8
W;18x283;555;302;63.5;394.0;35.6;;2.4;11.1;536.8;421.2;256399.0;9242.0;21.9;5539.0;11078.0;29303.0;1934.0;7.4;1516.0;2901.0;3032.0;;;;;;5619.0;17615953.0;51849;1.09
W;18x258;545;299;58.4;394.0;32.5;;2.6;12.1;489.7;383.9;229344.0;8423.0;21.7;5006.0;10012.0;26139.0;1753.0;7.3;1360.0;2630.0;2720.0;;;;;;4329.0;15413959.0;47712;1.49
W;18x234;535;296;53.6;394.0;29.5;;2.8;13.4;443.9;348.2;203953.0;7636.0;21.4;4498.0;8996.0;23226.0;1570.0;7.2;1221.0;2355.0;2442.0;;;;;;3317.0;13399940.0;43851;2.04
W;18x211;525;293;48.5;394.0;26.9;;3.0;14.6;400.6;314.0;180228.0;6866.0;21.2;4015.0;8030.0;20520.0;1398.0;7.2;1082.0;2097.0;2163.0;;;;;;2468.0;11600749.0;39990;2.95
W;18x192;517;291;44.5;394.0;24.4;;3.3;16.1;363.9;285.7;161082.0;6227.0;21.0;3622.0;7243.0;18314.0;1259.0;7.1;975.0;1888.0;1950.0;;;;;;1881.0;10177509.0;36680;4.08
W;18x175;509;289;40.4;394.0;22.6;;3.6;17.4;331.0;260.4;143600.0;5637.0;20.8;3261.0;6522.0;16275.0;1127.0;7.0;869.0;1691.0;1737.0;;;;;;1424.0;8915391.0;33577;5.76
W;18x158;501;287;36.6;394.0;20.6;;3.9;19.1;298.7;235.1;127367.0;5080.0;20.6;2917.0;5834.0;14443.0;1006.0;7.0;777.0;1509.0;1553.0;;;;;;1057.0;7760687.0;30544;8.33
W;18x143;495;285;33.5;394.0;18.5;;4.3;21.2;271.6;212.8;114464.0;4621.0;20.6;2638.0;5277.0;12945.0;909.0;6.9;700.0;1364.0;1399.0;;;;;;807.0;6901372.0;27993;11.7
W;18x130;489;283;30.5;394.0;17.0;;4.7;23.1;246.5;193.0;102393.0;4195.0;20.4;2384.0;4769.0;11571.0;818.0;6.9;628.0;1227.0;1257.0;;;;;;612.0;6095764.0;25580;16.6
W;18x119;482;286;26.9;394.0;16.6;;5.3;23.7;226.5;177.0;91155.0;3785.0;20.1;2139.0;4277.0;10531.0;736.0;6.8;566.0;1104.0;1132.0;;;;;;441.0;5451278.0;23028;25.5
W;18x106;476;284;23.9;394.0;15.0;;6.0;26.3;200.6;157.7;79500.0;3343.0;19.9;1885.0;3769.0;9157.0;646.0;6.8;496.0;968.0;991.0;;;;;;311.0;4672524.0;20615;39.5
W;18x97;472;283;22.1;394.0;13.6;;6.4;29.0;183.9;144.4;72840.0;3081.0;19.9;1729.0;3458.0;8366.0;592.0;6.7;453.0;887.0;906.0;;;;;;244.0;4242867.0;18961;54.3
W;18x86;467;282;19.6;394.0;12.2;;7.2;32.3;163.2;128.0;63683.0;2720.0;19.7;1524.0;3048.0;7284.0;518.0;6.7;397.0;777.0;793.0;;;;;;171.0;3652088.0;16961;85.4
W;18x76;463;280;17.3;394.0;10.8;;8.1;36.5;143.9;113.1;55359.0;2393.0;19.6;1336.0;2671.0;6327.0;452.0;6.6;346.0;678.0;692.0;;;;;;118.0;3141870.0;15031;137
W;18x71;469;194;20.6;394.0;12.6;;4.7;31.3;134.2;105.7;48699.0;2081.0;19.1;1188.0;2376.0;2510.0;259.0;4.3;202.0;388.0;405.0;;;;;;145.0;1262119.0;18478;69.6
W;18x65;466;193;19.1;394.0;11.4;;5.1;34.4;123.2;96.7;44537.0;1917.0;19.0;1090.0;2179.0;2281.0;236.0;4.3;184.0;354.0;369.0;;;;;;114.0;1138592.0;17030;95.5
W;18x60;463;192;17.7;394.0;10.5;;5.4;37.3;113.5;89.3;40957.0;1770.0;19.0;1008.0;2016.0;2085.0;218.0;4.3;169.0;327.0;338.0;;;;;;90.3;1033863.0;15789;128
W;18x55;460;191;16.0;394.0;9.9;;6.0;39.7;104.5;81.8;37045.0;1611.0;18.8;918.0;1835.0;1869.0;195.0;4.2;152.0;293.0;303.0;;;;;;69.1;921078.0;14548;180
W;18x50;457;190;14.5;394.0;9.0;;6.6;43.7;94.8;74.4;33299.0;1457.0;18.8;828.0;1655.0;1669.0;175.0;4.2;136.0;263.0;272.0;;;;;;51.6;816349.0;13238;261
W;18x46;459;154;15.4;394.0;9.1;;5.0;43.1;87.1;68.5;29636.0;1291.0;18.4;743.0;1486.0;937.0;122.0;3.3;95.9;183.0;192.0;;;;;;50.8;459196.0;14203;212
W;18x40;455;153;13.3;394.0;8.0;;5.7;49.2;76.1;59.5;25473.0;1121.0;18.3;642.0;1285.0;795.0;104.0;3.2;81.5;156.0;163.0;;;;;;33.7;386692.0;12480;362
W;18x35;450;152;10.8;394.0;7.6;;7.1;51.7;66.5;52.1;21228.0;944.0;17.9;545.0;1090.0;637.0;84.0;3.1;66.0;126.0;132.0;;;;;;21.2;306131.0;10963;637
W;16x100;431;265;25.0;346.0;14.9;;5.3;23.3;189.7;148.8;62018.0;2868.0;18.0;1622.0;3245.0;7742.0;585.0;6.4;450.0;878.0;900.0;;;;;;322.0;3195577.0;23787;21.9
W;16x89;425;263;22.2;346.0;13.3;;5.9;26.0;169.0;132.4;54110.0;2540.0;17.9;1434.0;2868.0;6785.0;515.0;6.3;394.0;772.0;788.0;;;;;;227.0;2739066.0;21305;34.3
W;16x77;420;261;19.3;346.0;11.6;;6.8;29.9;145.8;114.6;46202.0;2196.0;17.8;1229.0;2458.0;5744.0;441.0;6.3;337.0;661.0;674.0;;;;;;149.0;2306723.0;18478;58.7
W;16x67;415;260;16.9;346.0;10.0;;7.7;34.5;127.1;99.7;39708.0;1917.0;17.7;1065.0;2130.0;4953.0;380.0;6.3;291.0;570.0;582.0;;;;;;99.5;1960312.0;16203;98.7
W;16x57;417;181;18.2;346.0;10.9;;5.0;31.7;108.4;84.8;31550.0;1511.0;17.1;860.0;1721.0;1794.0;198.0;4.1;155.0;297.0;310.0;;;;;;92.4;714305.0;18271;71.5
W;16x50;413;180;16.0;346.0;9.7;;5.6;35.9;94.8;74.4;27430.0;1327.0;17.0;754.0;1508.0;1548.0;172.0;4.0;134.0;258.0;267.0;;;;;;63.3;609576.0;16134;116
W;16x45;410;179;14.4;346.0;8.8;;6.2;39.5;85.8;67.0;24391.0;1191.0;16.9;674.0;1349.0;1365.0;153.0;4.0;119.0;230.0;238.0;;;;;;46.2;534386.0;14617;174
W;16x40;407;178;12.8;346.0;7.8;;6.9;44.7;76.1;59.5;21561.0;1060.0;16.8;597.0;1195.0;1203.0;135.0;4.0;104.0;203.0;208.0;;;;;;32.9;464567.0;13031;271
W;16x36;403;177;10.9;346.0;7.5;;8.1;46.2;68.4;53.6;18647.0;926.0;16.5;524.0;1049.0;1020.0;115.0;3.9;88.5;172.1;177.0;;;;;;22.5;392062.0;11721;438
W;16x31;403;140;11.2;346.0;7.0;;6.3;49.5;58.8;46.1;15609.0;773.0;16.3;442.0;885.0;516.0;73.6;3.0;57.4;110.4;115.0;;;;;;19.1;198448.0;11997;421
W;16x26;399;140;8.8;346.0;6.4;;8.0;54.5;49.5;38.7;12529.0;629.0;15.9;362.0;724.0;399.0;57.2;2.8;44.9;85.8;89.8;;;;;;10.8;151723.0;10135;860
W;14x808;580;471;130.0;286.0;95.0;;1.8;3.0;1529.0;1202.0;665970.0;22942.0;20.9;15027.0;30054.0;229344.0;9734.0;12.2;7595.0;14601.0;15191.0;;;;;;77419.0;116276030.0;130311;0.03
W;14x730;569;454;124.7;286.0;78.0;;1.8;3.7;1387.0;1086.0;595211.0;20975.0;20.8;13601.0;27203.0;196461.0;8636.0;11.9;6686.0;12954.0;13372.0;;;;;;60354.0;97209984.0;120658;0.04
W;14x665;550;448;114.8;286.0;71.9;;2.0;4.0;1265.0;989.6;516127.0;18845.0;20.3;12126.0;24253.0;173569.0;7735.0;11.7;5981.0;11602.0;11963.0;;;;;;46618.0;81903439.0;112385;0.05
W;14x605;531;442;105.7;286.0;65.9;;2.1;4.3;1148.0;900.3;449530.0;17043.0;19.8;10815.0;21631.0;153173.0;6932.0;11.6;5342.0;10398.0;10684.0;;;;;;36212.0;69282254.0;104111;0.07
W;14x550;514;437;97.0;286.0;60.5;;2.3;4.7;1045.0;818.5;392506.0;15256.0;19.4;9668.0;19337.0;135275.0;6194.0;11.4;4777.0;9291.0;9554.0;;;;;;27888.0;58809355.0;97906;0.09
W;14x500;498;432;88.9;286.0;55.6;;2.4;5.1;948.4;744.1;341726.0;13732.0;19.0;8603.0;17206.0;119875.0;5555.0;11.3;4277.0;8333.0;8554.0;;;;;;21394.0;50216207.0;90321;0.12
W;14x455;483;428;81.5;286.0;51.2;;2.6;5.6;864.5;677.1;299270.0;12389.0;18.6;7669.0;15338.0;106555.0;4982.0;11.1;3835.0;7473.0;7669.0;;;;;;16441.0;42965739.0;84116;0.15
W;14x426;474;424;77.1;286.0;47.6;;2.8;6.0;806.5;634.0;274713.0;11586.0;18.4;7120.0;14240.0;98231.0;4638.0;11.0;3556.0;6956.0;7112.0;;;;;;13777.0;38669165.0;79290;0.19
W;14x398;465;421;72.3;286.0;45.0;;2.9;6.4;754.8;592.3;249739.0;10750.0;18.2;6563.0;13126.0;90322.0;4293.0;11.0;3294.0;6440.0;6588.0;;;;;;11363.0;34641127.0;75153;0.23
W;14x370;455;418;67.6;286.0;42.0;;3.1;6.8;703.2;550.6;226430.0;9947.0;18.0;6030.0;12061.0;82830.0;3949.0;10.9;3032.0;5924.0;6063.0;;;;;;9240.0;31150161.0;71016;0.29
W;14x342;446;416;62.7;286.0;39.1;;3.3;7.3;651.6;509.0;203953.0;9160.0;17.7;5506.0;11012.0;75338.0;3622.0;10.8;2769.0;5432.0;5539.0;;;;;;7409.0;27659194.0;66190;0.38
W;14x311;435;412;57.4;286.0;35.8;;3.6;8.0;589.7;462.8;180228.0;8292.0;17.5;4941.0;9881.0;67013.0;3261.0;10.7;2491.0;4892.0;4982.0;;;;;;5661.0;23926546.0;60812;0.51
W;14x283;425;409;52.6;286.0;32.8;;3.9;8.7;537.4;421.2;159833.0;7522.0;17.3;4441.0;8882.0;59937.0;2933.0;10.6;2245.0;4400.0;4490.0;;;;;;4329.0;20865237.0;55985;0.7
W;14x257;416;406;48.0;286.0;29.8;;4.2;9.6;487.7;382.5;141519.0;6801.0;17.0;3990.0;7981.0;53694.0;2638.0;10.5;2016.0;3957.0;4031.0;;;;;;3292.0;18206732.0;51435;0.97
W;14x233;407;404;43.7;286.0;27.2;;4.6;10.5;441.9;346.7;125286.0;6145.0;16.8;3572.0;7145.0;47867.0;2376.0;10.4;1811.0;3564.0;3622.0;;;;;;2477.0;15843616.0;47022;1.37
W;14x211;399;401;39.6;286.0;24.9;;5.1;11.5;400.0;314.0;110718.0;5539.0;16.6;3195.0;6391.0;42872.0;2130.0;10.3;1622.0;3195.0;3245.0;;;;;;1856.0;13829597.0;42954;1.93
W;14x193;393;399;36.6;286.0;22.6;;5.5;12.6;366.5;287.2;99896.0;5080.0;16.5;2909.0;5817.0;38751.0;1950.0;10.3;1475.0;2925.0;2950.0;;;;;;1448.0;12325796.0;39576;2.63
W;14x176;387;398;33.3;286.0;21.1;;6.0;13.6;334.2;261.9;89074.0;4605.0;16.3;2622.0;5244.0;34880.0;1753.0;10.2;1336.0;2630.0;2671.0;;;;;;1103.0;10875703.0;36404;3.64
W;14x159;380;395;30.2;286.0;18.9;;6.5;15.1;301.3;236.6;79084.0;4162.0;16.2;2352.0;4703.0;31134.0;1576.0;10.2;1196.0;2365.0;2393.0;;;;;;824.0;9559877.0;33026;5.24
W;14x145;375;394;27.7;286.0;17.3;;7.1;16.5;275.5;215.8;71176.0;3802.0;16.1;2130.0;4261.0;28179.0;1431.0;10.1;1090.0;2146.0;2179.0;;;;;;633.0;8512587.0;30337;7.32
W;14x132;372;374;26.2;286.0;16.4;;7.2;17.4;250.3;196.4;63683.0;3425.0;16.0;1917.0;3835.0;22809.0;1221.0;9.6;926.0;1831.0;1852.0;;;;;;512.0;6847665.0;28820;9
W;14x120;368;373;23.9;286.0;15.0;;7.8;19.1;227.7;178.6;57440.0;3114.0;15.9;1737.0;3474.0;20603.0;1106.0;9.5;836.0;1659.0;1671.0;;;;;;390.0;6095764.0;26407;12.6
W;14x109;364;371;21.8;286.0;13.3;;8.5;21.4;206.5;162.2;51613.0;2835.0;15.8;1573.0;3146.0;18606.0;1003.0;9.5;760.0;1504.0;1519.0;;;;;;296.0;5424425.0;24063;17.9
W;14x99;360;370;19.8;286.0;12.3;;9.3;23.2;187.7;147.3;46202.0;2573.0;15.7;1417.0;2835.0;16733.0;905.0;9.4;685.0;1357.0;1370.0;;;;;;224.0;4833646.0;21994;25.7
W;14x90;356;369;18.0;286.0;11.2;;10.2;25.6;171.0;133.9;41582.0;2343.0;15.6;1286.0;2573.0;15068.0;818.0;9.4;619.0;1227.0;1239.0;;;;;;169.0;4296574.0;19995;36.8
W;14x82;363;257;21.7;279.0;13.0;;5.9;21.6;155.5;122.0;36712.0;2016.0;15.4;1139.0;2278.0;6160.0;480.0;6.3;367.0;720.0;734.0;;;;;;211.0;1801876.0;24821;17.8
W;14x74;360;256;19.9;279.0;11.4;;6.4;24.4;140.6;110.1;33132.0;1835.0;15.3;1032.0;2065.0;5578.0;436.0;6.3;333.0;654.0;665.0;;;;;;161.0;1608530.0;22684;25
W;14x68;357;255;18.3;279.0;10.5;;7.0;26.5;129.0;101.2;30094.0;1688.0;15.3;942.0;1885.0;5036.0;397.0;6.3;302.0;595.0;605.0;;;;;;126.0;1444723.0;20822;34.7
W;14x61;353;254;16.4;279.0;9.5;;7.8;29.3;115.5;90.8;26639.0;1511.0;15.2;836.0;1671.0;4454.0;352.0;6.2;269.0;528.5;537.0;;;;;;91.6;1264804.0;18754;51.7
W;14x53;354;205;16.8;279.0;9.4;;6.1;29.7;100.6;78.9;22518.0;1275.0;15.0;714.0;1427.0;2402.0;234.0;4.9;180.0;351.5;361.0;;;;;;80.7;682081.0;19512;47.3
W;14x48;350;204;15.1;279.0;8.6;;6.8;32.4;91.0;71.4;20187.0;1152.0;14.9;642.0;1285.0;2139.0;210.0;4.9;161.0;314.6;321.0;;;;;;60.8;601520.0;17788;67.7
W;14x43;347;203;13.5;279.0;7.8;;7.5;36.1;81.3;64.0;17815.0;1027.0;14.8;570.0;1141.0;1881.0;185.0;4.8;142.0;277.8;283.0;;;;;;43.7;523645.0;15996;103
W;14x38;358;172;13.1;305.0;7.9;;6.6;38.7;72.3;56.6;16025.0;895.0;14.9;504.0;1008.0;1111.0;129.0;3.9;99.1;193.7;198.0;;;;;;33.3;330299.0;15100;144
W;14x34;355;171;11.6;305.0;7.2;;7.4;42.1;64.5;50.6;14152.0;796.0;14.8;447.0;895.0;970.0;113.0;3.9;86.9;170.0;174.0;;;;;;23.7;287333.0;13583;223
W;14x30;352;171;9.8;305.0;6.9;;8.7;44.4;57.1;44.6;12112.0;688.0;14.6;388.0;775.0;816.0;95.4;3.8;73.7;143.0;147.0;;;;;;15.8;238191.0;12066;370
W;14x26;353;128;10.7;305.0;6.5;;6.0;47.1;49.6;38.7;10198.0;578.0;14.4;329.0;659.0;371.0;58.0;2.7;45.4;87.0;90.8;;;;;;15.0;108757.0;13031;292
W;14x22;349;127;8.5;305.0;5.8;;7.5;52.2;41.9;32.7;8283.0;475.0;14.1;272.0;544.0;291.0;45.9;2.6;36.0;68.8;71.9;;;;;;8.7;84320.0;11101;574
W;12x336;427;340;75.1;241.0;45.1;;2.3;5.4;637.4;500.0;168990.0;7915.0;16.3;4941.0;9881.0;49532.0;2901.0;8.8;2245.0;4351.0;4490.0;;;;;;10114.0;15306544.0;88253;0.13
W;12x305;415;336;68.7;241.0;41.3;;2.5;5.9;578.1;453.9;147762.0;7128.0;16.0;4400.0;8800.0;43704.0;2606.0;8.7;1999.0;3908.0;3998.0;;;;;;7700.0;13050843.0;81358;0.17
W;12x279;403;334;62.7;241.0;38.9;;2.7;6.2;528.4;415.2;129448.0;6440.0;15.7;3941.0;7882.0;39001.0;2343.0;8.6;1803.0;3515.0;3605.0;;;;;;5952.0;11278506.0;75842;0.23
W;12x252;391;330;57.2;241.0;35.4;;2.9;6.8;478.1;375.0;113215.0;5785.0;15.4;3507.0;7014.0;34464.0;2081.0;8.5;1606.0;3122.0;3212.0;;;;;;4495.0;9613584.0;69637;0.31
W;12x230;382;328;52.6;241.0;32.6;;3.1;7.4;436.8;342.3;100728.0;5260.0;15.2;3163.0;6325.0;30884.0;1885.0;8.4;1450.0;2827.0;2901.0;;;;;;3488.0;8378319.0;64742;0.41
W;12x210;374;325;48.3;241.0;30.0;;3.4;8.1;398.7;312.5;89074.0;4785.0;15.0;2851.0;5703.0;27638.0;1704.0;8.3;1303.0;2556.0;2606.0;;;;;;2693.0;7304176.0;59778;0.56
W;12x190;365;322;44.1;241.0;26.9;;3.7;9.0;360.0;282.8;78668.0;4310.0;14.8;2548.0;5096.0;24516.0;1524.0;8.3;1172.0;2286.0;2343.0;;;;;;2031.0;6337446.0;54744;0.78
W;12x170;356;319;39.6;241.0;24.4;;4.0;9.9;322.6;253.0;68678.0;3851.0;14.6;2253.0;4506.0;21519.0;1349.0;8.2;1032.0;2023.0;2065.0;;;;;;1482.0;5397571.0;49573;1.14
W;12x152;348;317;35.6;241.0;22.1;;4.5;10.9;288.4;226.2;59521.0;3425.0;14.4;1991.0;3982.0;18897.0;1193.0;8.1;909.0;1789.0;1819.0;;;;;;1074.0;4618817.0;44885;1.67
W;12x136;341;315;31.8;241.0;20.1;;5.0;12.0;257.4;202.4;51613.0;3048.0;14.2;1753.0;3507.0;16566.0;1052.0;8.0;803.0;1578.0;1606.0;;;;;;770.0;3947477.0;40334;2.5
W;12x120;333;313;28.1;241.0;18.0;;5.6;13.4;227.7;178.6;44537.0;2671.0;14.0;1524.0;3048.0;14360.0;918.0;8.0;700.0;1377.0;1399.0;;;;;;537.0;3329845.0;36129;3.87
W;12x106;327;310;25.1;241.0;15.5;;6.2;15.6;201.3;157.7;38834.0;2376.0;13.9;1344.0;2687.0;12529.0;808.0;7.9;615.0;1212.0;1231.0;;;;;;380.0;2873334.0;32130;6
W;12x96;323;309;22.9;241.0;14.0;;6.8;17.3;181.9;142.9;34672.0;2147.0;13.8;1204.0;2409.0;11238.0;728.0;7.9;553.0;1091.0;1106.0;;;;;;286.0;2526923.0;29303;8.52
W;12x87;318;308;20.6;241.0;13.1;;7.5;18.4;165.2;129.5;30801.0;1934.0;13.7;1082.0;2163.0;10031.0;651.0;7.8;495.0;976.0;990.0;;;;;;212.0;2220792.0;26752;12.3
W;12x79;314;307;18.7;241.0;11.9;;8.2;20.2;149.7;117.6;27555.0;1753.0;13.6;975.0;1950.0;8991.0;587.0;7.8;445.0;880.0;890.0;;;;;;160.0;1968368.0;24339;17.6
W;12x72;311;306;17.0;241.0;10.9;;9.0;22.1;136.1;107.1;24849.0;1596.0;13.5;885.0;1770.0;8117.0;531.0;7.7;403.0;796.0;806.0;;;;;;122.0;1756225.0;22270;24.8
W;12x65;308;305;15.4;241.0;9.9;;9.9;24.4;123.2;96.7;22185.0;1440.0;13.4;793.0;1586.0;7242.0;477.0;7.7;361.0;715.0;723.0;;;;;;90.7;1552137.0;20271;36.2
W;12x58;310;254;16.3;241.0;9.1;;7.8;26.4;109.7;86.3;19771.0;1278.0;13.4;708.0;1416.0;4454.0;351.0;6.4;266.0;526.0;533.0;;;;;;87.4;958673.0;21167;30.9
W;12x53;306;254;14.6;241.0;8.8;;8.7;27.5;100.6;78.9;17690.0;1157.0;13.3;638.0;1277.0;3987.0;315.0;6.3;238.0;472.0;477.0;;;;;;65.8;848573.0;19443;44.2
W;12x50;310;205;16.3;241.0;9.4;;6.3;25.7;94.8;74.4;16400.0;1060.0;13.2;593.0;1186.0;2343.0;228.0;5.0;175.0;342.0;351.0;;;;;;74.1;504847.0;21856;29.7
W;12x45;306;204;14.6;241.0;8.5;;7.0;28.4;85.2;67.0;14568.0;952.0;13.1;530.0;1060.0;2081.0;203.0;4.9;156.0;305.0;311.0;;;;;;54.5;443084.0;19788;43.5
W;12x40;303;203;13.1;241.0;7.5;;7.8;32.2;76.1;59.5;12903.0;850.0;13.0;471.0;942.0;1836.0;180.0;4.9;138.0;270.0;275.0;;;;;;39.5;386692.0;17788;65.4
W;12x35;318;167;13.2;267.0;7.6;;6.3;35.0;66.5;52.1;11863.0;747.0;13.3;420.0;839.0;1020.0;122.0;3.9;94.2;184.0;188.0;;;;;;30.8;236043.0;16685;91.3
W;12x30;313;166;11.2;267.0;6.6;;7.4;40.4;56.7;44.6;9906.0;633.0;13.2;353.0;706.0;845.0;102.0;3.9;78.3;153.0;157.0;;;;;;19.1;193346.0;14410;167
W;12x26;310;165;9.7;267.0;5.8;;8.5;45.7;49.4;38.7;8491.0;547.0;13.1;305.0;610.0;720.0;87.5;3.8;66.9;131.0;134.0;;;;;;12.5;163001.0;12548;292
W;12x22;313;102;10.8;267.0;6.6;;4.7;40.4;41.8;32.7;6493.0;416.0;12.5;240.0;480.0;194.0;37.9;2.2;30.0;56.8;60.0;;;;;;12.1;44040.0;14893;182
W;12x19;309;102;8.9;267.0;6.0;;5.7;44.7;35.9;28.3;5411.0;349.0;12.2;202.0;405.0;157.0;30.8;2.1;24.4;46.2;48.8;;;;;;7.5;35178.0;12962;328
W;12x16;305;101;6.7;267.0;5.6;;7.5;47.7;30.4;23.8;4287.0;280.0;11.9;165.0;329.0;117.0;23.1;2.0;18.5;34.7;37.0;;;;;;4.2;26021.0;11101;673
W;12x14;303;101;5.7;267.0;5.1;;8.8;52.5;26.8;20.8;3688.0;244.0;11.7;143.0;285.0;98.2;19.5;1.9;15.6;29.3;31.1;;;;;;2.9;21590.0;9997;1037
W;10x112;289;265;31.8;194.0;19.2;;4.2;10.1;212.3;166.7;29802.0;2065.0;11.8;1204.0;2409.0;9823.0;742.0;6.8;567.0;1114.0;1134.0;;;;;;629.0;1616586.0;48815;1.19
W;10x100;282;263;28.4;194.0;17.3;;4.6;11.2;189.7;148.8;25931.0;1835.0;11.7;1065.0;2130.0;8616.0;655.0;6.7;500.0;983.0;1000.0;;;;;;454.0;1382960.0;44126;1.76
W;10x88;275;261;25.1;194.0;15.4;;5.2;12.6;167.1;131.0;22227.0;1614.0;11.5;926.0;1852.0;7451.0;570.0;6.7;435.0;855.0;870.0;;;;;;313.0;1162760.0;39162;2.78
W;10x77;269;259;22.1;194.0;13.5;;5.9;14.4;145.8;114.6;18939.0;1408.0;11.4;800.0;1599.0;6410.0;493.0;6.6;376.0;740.0;752.0;;;;;;213.0;974785.0;34543;4.48
W;10x68;264;257;19.6;194.0;11.9;;6.6;16.2;129.0;101.2;16400.0;1241.0;11.3;699.0;1398.0;5578.0;433.0;6.6;329.0;649.0;657.0;;;;;;148.0;832461.0;30751;7.03
